Id_n,Name,Mass,Radius,Orbital_period_days,Year
1,11 Com b,16.1284,,326.03,2007
2,11 Oph b,21,,730000,2007
3,11 UMi b,11.0873,,516.22,2009
4,14 And b,4.684,,185.84,2008
5,14 Her b,,,1767.56,2002
6,14 Her c,7.1,,52160,2006
7,16 Cyg B b,1.64,,799.5,1996
8,17 Sco b,4.32,,578.38,2020
9,18 Del b,10.3,,993.3,2008
10,1RXS 1609 b,14,1.7,,2008
11,1RXS J0342.5+1216 b,35,,,
12,1RXS J235133.3+312720 b,32,,,2012
13,1SWASP J1407 b,20,,3725,2012
14,24 Boo b,0.91,,30.3506,2018
15,24 Sex b,1.84,,452.8,2010
16,24 Sex c,1.52,,883,2010
17,2M0045+16,25,,,2019
18,2M 0103-55 (AB) b,13,,,2013
19,2M0117-34,16.4,,,2019
20,2M 0219-39 b,13.9,1.44,,2015
21,2M0355,28,1.22,,2008
22,2M0418+21,47,,,2017
23,2M0437 b,4,,,2021
24,2M 0441+23 b,7.5,,,2010
25,2M0444,50,,,2013
26,2M0838+15 b,,,,2013
27,2M0838+15 c,,,,2013
28,2M1059-21 b,66.95,,690,2020
29,2M1207 A,60,,,2004
30,2M1207 b,5.5,,,2004
31,2M 1252+2735 b,6.88,,35.08,2021
32,2M 1253+2734 b,8.3,,24.31,2021
33,2M 1258+2630 b,3.4,,11.88,2021
34,2M1510A a,40,1.57,20.902,2020
35,2M1510A b,39.3,1.57,20.902,2020
36,2M 2140+16 b,20,0.92,7340,2010
37,2M 2206-20 b,30,1.3,8686,2010
38,2M 2236+4751 b,12.5,,,2016
39,2MASS 0359+2009 b,20,,,2019
40,2MASS 1534-29 b,47,0.32,,2021
41,2MASS J0001+1535,33,1.22,,2022
42,2MASS J0030-1450,10,1.36,,2022
43,2MASS J0031+5749,24,1.2,,2022
44,2MASS J00413538-5621127 A,30,,,2009
45,2MASS J00413538-5621127 B,15,,45990,2010
46,2MASS J01225093-2439505 b,24.5,,,2013
47,2MASS J0153-6744,17,1.48,,2022
48,2MASS J0249-0557A,48,,,2018
49,2MASS J0249-0557 (AB) c,11.6,,,2018
50,2MASS J0249-0557B,44,,,2018
51,2MASS J0326-2102,18,1.32,,2022
52,2MASS J0342-6817,17,1.48,,2022
53,2MASS J0348-6022,43,0.91,,2021
54,2MASS J0407+1546,67,0.97,,2021
55,2MASS J0447-1216,51,1.02,,2022
56,2MASS J0459-2853,8,1.32,,
57,2MASS J0506+5236,26,1.05,,2022
58,2MASS J0642+4101,12,1.23,,2022
59,2MASS J0718-6415,3,1.29,,2022
60,2MASS J0809+4434,13,1.35,,2022
61,2MASS J0850+1057 b,26,1.15,,2021
62,2MASS J0951-8023,15,1.45,,2022
63,2MASS J10475385+2124234,42,,,1999
64,2MASS J11011926-7732383 A,50,,,2004
65,2MASS J11011926-7732383 B,30,,,2004
66,2MASS J1119-1137 b,3.7,,32850,2017
67,2MASS J1155-7919 b,10,,,2020
68,2MASS J1219+3128,49,0.97,,2021
69,2MASS J1450-7841 A,40,,,2017
70,2MASS J1450-7841 B,40,,,2017
71,2MASS J15344984-2952274 A,30.1,,,2008
72,2MASS J15344984-2952274 B,28.2,,5550,2008
73,2MASS J1551+0941,24,1.39,,2022
74,2MASS J155947+440359 b,43,,,2012
75,2MASS J1647+5632,18,1.22,,2022
76,2MASS J1741-4642,26,1.23,,2022
77,2MASS J18071593+5015316,16.02,,,2003
78,2MASS J2002-0521,13,1.36,,2022
79,2MASS J2117-2940,7,1.38,,2022
80,2MASS J2139+02,16.2,1.14,,2003
81,2MASS J2154-1055,33,1.17,,2022
82,2MASS J2206+3301,8,1.3,,2022
83,2MASS J2206-4217,32,1.22,,2022
84,2MASS J2250+2325 b,30,,,2017
85,2MASS J2322-6151,18,1.5,,2022
86,2MASS J2343-3646,34,1.22,,2022
87,2MASSW J2208136+292121,10,,,2000
88,2M J2126-81 b,13.3,,,2016
89,38 Vir b,4.51,,825.9,2016
90,3 Cnc b,20.76,,853.64,2020
91,44 Uma b,12.11,,785.74,2020
92,47 Uma b,2.53,,1078,1996
93,47 Uma c,0.54,,2391,2001
94,47 Uma d,1.64,,14002,2010
95,4 Uma b,7.1,,269.3,2007
96,51 Eri b,2.6,1.11,10260,2015
97,51 Peg b,0.47,1.9,4.2308,1995
98,55 Cnc b,0.84,,14.65314,1996
99,55 Cnc c,0.1784,,44.373,2002
100,55 Cnc d,3.84,,5574.2,2002
101,55 Cnc e,0.02703,0.1737,0.7365478,2004
102,55 Cnc f,0.1479,,260.91,2007
103,61 Vir b,0.016,,4.215,2009
104,61 Vir c,0.0573,,38.021,2009
105,61 Vir d,0.072,,123.01,2009
106,6 Lyn b,2.01,,934.3,2008
107,70I-469 c,0.0142,0.141,3.53796,2019
108,70 Vir b,6.6,,116.67,1996
109,75 Cet b,0.0078,,696.6,2012
110,75 Cet c,0.91,,2052,2023
111,7 CMa b,1.895,,736.9,2011
112,7 CMA c,0.906,,988.9,2019
113,81 Cet b,5.3,,952.7,2008
114,8 Umi b,1.65,,93.31,2015
115,91 Aqr b,3.2,,181.4,2003
116,AB Aur b,9,,,2008
117,AB Dor C b,13,,,2019
118,AB Pic b,13.5,1.75,,2005
119,AD 3116 b,54.2,1.02,1.982796,2017
120,AF Lep b,2.8,1.33,8145,2023
121,Aldebaran c,,,772.83,2019
122,alf Ari b,1.8,,380.8,2011
123,AS 205 A b,19.25,,24.84,2017
124,ASASSN-16kr b,42,1.05,0.061285932,2021
125,ASASSN-17jf b,60,1.12,0.0567904,2021
126,AU Mic b,0.116,0.4571,8.46303507,2020
127,AU Mic c,0.101,0.28,18.859014,2020
128,AU Mic d,0.003187,,12.73812,2022
129,b Cen b,10.9,,1800000,2021
130,BD-00 4475 b,23.05,,723.2,2021
131,BD+03 2562 b,6.4,,481.9,2017
132,BD-06 1339 c,0.17,,125.94,2013
133,BD-06 1339 d,0.0582,,487,2014
134,BD-08 2823 b,0.045,,5.6,2009
135,BD-08 2823 c,0.33,,237.6,2009
136,BD-10 3166 b,0.46,1.03,3.4878,2000
137,BD-11 4672 b,0.65,,1634,2010
138,BD-11 4672 c,0.04836,,74.2,2020
139,BD+14 4559 b,1.47,,268.94,2009
140,BD+15 2375 b,1.06,,153.22,2016
141,BD+15 2940 b,1.11,,137.48,2013
142,BD-17 63 b,5.1,,655.6,2008
143,BD+20 2457 b,21.42,,379.63,2009
144,BD+20 2457 c,12.47,,621.99,2009
145,BD+20 274 b,4.2,,578.2,2010
146,BD+20 594 b,0.07,0.23,41.6855,2016
147,BD-21 397 c,2.4,,6360,2023
148,BD+24 4697 b,53,,145.081,2016
149,BD+26 1888 b,26,,536.78,2016
150,BD+45 564 b,1.36,,307.88,2021
151,BD+48 738 b,0.91,,392.6,2011
152,BD+48 740 b,1.7,,733,2012
153,BD+49 828 b,1.6,,2590,2015
154,BD+55 362 b,0.72,,265.59,2021
155,BD+60 1417 b,15,1.31,,2021
156,BD+63 1405 b,3.96,,1198.48,2021
157,beta Cir b,56,,,2015
158,beta Cnc b,7.8,,605.2,2014
159,beta Pic b,11.9,1.65,7707,2008
160,beta Pic c,8.89,1.2,1227,2019
161,beta Umi b,6.1,,522.3,2014
162,[BHB2007]-1 b,42,,,2021
163,BLG-1691L b,0.046,,,2022
164,BW Scl b,51,1,0.0543239136,2023
165,CD-35 2722 b,31,,,2011
166,CD Cet b,0.01244,,2.2907,2020
167,CFBDS0059,22.5,,,2008
168,CFBDSIR J145829+101343 b,10.5,,10037.5,2011
169,CFBDSIR J2149-0403 b,21,,,2017
170,Cha Ha 8 b,25,,1895,2007
171,Chang 134 b,46,,82,2022
172,CHXR 73 b,12,,,2006
173,CI Tau b,11.6,,8.9891,2016
174,COCONUTS-2 b,6.4,1.12,,2021
175,COCONUTS-3 b,39,1.03,,2022
176,CoRoT-10 b,2.75,0.97,13.2406,2010
177,CoRoT-11 b,2.33,1.43,2.994325,2010
178,CoRoT-12 b,0.917,1.44,2.8280517,2010
179,CoRoT-13 b,1.308,0.885,4.0350906,2010
180,CoRoT-14 b,7.6,1.09,1.51214,2010
181,CoRoT-15 b,63.4,1.12,3.06036,2010
182,CoRoT-16 b,0.535,1.17,5.35227,2010
183,CoRoT-17 b,2.43,1.02,3.768125,2010
184,CoRoT-18 b,3.47,1.31,1.90009057,2011
185,CoRoT-19 b,1.11,1.29,3.8971372,2011
186,CoRoT-1 b,1.03,1.49,1.50896848,2007
187,CoRoT-20 b,4.24,0.84,9.2431839,2011
188,CoRoT-20 c,17,,1675,2018
189,CoRoT-21 b,2.26,1.3,2.72474,2011
190,CoRoT-22 b,0.06,0.4354,9.75598,2011
191,CoRoT-23 b,2.8,1.08,3.6314,2011
192,CoRoT-24 b,0.018,0.33,5.1134,2011
193,CoRoT-24 c,0.088,0.44,11.759,2011
194,CoRoT-25 b,0.27,1.08,4.86069,2012
195,CoRoT-26 b,0.52,1.26,4.20474,2012
196,CoRoT-27 b,10.39,1.007,3.57532,2012
197,CoRoT-28 b,0.484,0.955,5.20851,2012
198,CoRoT-29 b,0.85,0.9,2.85057,2012
199,CoRoT-2 b,3.31,1.465,1.7429964,2007
200,CoRoT-30 b,2.9,1.009,9.06005,2017
201,CoRoT-31 b,0.84,1.46,4.62941,2017
202,CoRoT-32 b,0.15,0.57,6.71837,2017
203,CoRoT-33 b,59.2,1.1,5.819143,2015
204,CoRoT-35 b,1.1,1.68,3.22748,2022
205,CoRoT-36 b,0.68,1.41,5.616531,2022
206,CoRoT-3 b,21.66,1.19,4.2567994,2008
207,CoRoT-4 b,0.72,1.19,9.20166201,2008
208,CoRoT-5 b,0.467,1.33,4.0379148,2008
209,CoRoT-6 b,2.96,1.166,8.886593,2009
210,CoRoT-7 b,0.041812,0.136,0.8535,2009
211,CoRoT-7 c,0.041812,,3.697,2009
212,CoRoT-7 d,17.142,,8.966,2010
213,CoRoT-8 b,0.2158,0.5692,6.21229,2010
214,CoRoT-9 b,0.84,0.94,95.273804,2010
215,CT Cha b,17,2.2,,2008
216,CWISE 0146-0508A b,66,,,2022
217,CWISE J050626.96+073842.4,7,1.32,,2023
218,CWISEP J144606.62-231717.8,11,,,2019
219,CWISEP J1935-1546,11,,,2019
220,DANCe J15454024-2422072,8,,,2022
221,DANCe J15481655-2307430,12,,,2022
222,DANCe J15582895-2530319,7,,,2022
223,DANCe J16041234-2127472,10,,,2022
224,DANCe J16053908-2403330,11,,,2022
225,DANCe J16064467-2033428,12,,,2022
226,DANCe J16064553-2121595,10,,,2022
227,DANCe J16081299-2304316,4,,,2022
228,DANCe J16091010-1930376,8,,,2022
229,DANCe J16123953-2614510,12,,,2022
230,DANCe J16134589-2442310,10,,,2022
231,DANCe J16135217-2443562,10,,,2022
232,DANCe J16140756-2211524,11,,,2022
233,DANCe J16255679-2113354,12,,,2022
234,DANCe J16393029-2454135,11,,,2022
235,DE0630-18 a,58,,,2008
236,DE0630-18 (bc),53,,,2020
237,DE0823-49 b,31.5,,247.75,2013
