Id_n,Name,Mass,Mass_error_min,Mass_error_max,Mass_sini,Mass_sini_error_min,Mass_sini_error_max,Radius,Radius_error_min,Radius_error_max,Density,Average_Mass,Average_Radius
1,11 Com b,16.1284,1.53491,1.53491,16.1284,1.53491,1.53491,,,,,,
2,11 Oph b,21,3,3,,,,,,,,,
3,11 UMi b,11.0873,1.1,1.1,11.0873,1.1,1.1,,,,,,
4,14 And b,4.684,0.23,0.23,4.684,0.23,0.23,,,,,,
5,14 Her b,,,,,4.95,4.95,,,,,,
6,14 Her c,7.1,0.6,0.6,,,,,,,,,
7,16 Cyg B b,1.64,0.08,0.08,1.64,0.08,0.08,,,,,,
8,17 Sco b,4.32,0.12,0.12,4.32,0.12,0.12,,,,,,
9,18 Del b,10.3,0.36,0.36,10.3,0.36,0.36,,,,,,
10,1RXS 1609 b,14,3,3,,,,1.7,,,,,
11,1RXS J0342.5+1216 b,35,8,8,,,,,,,,,
12,1RXS J235133.3+312720 b,32,6,6,,,,,,,,,
13,1SWASP J1407 b,20,6,6,20,6,6,,,,,,
14,24 Boo b,0.91,0.11,0.11,0.91,0.11,0.11,,,,,,
15,24 Sex b,1.84,0.11,0.11,1.84,0.11,0.11,,,,,,
16,24 Sex c,1.52,0.2,0.2,1.52,0.2,0.2,,,,,,
17,2M0045+16,25,4.6,4.6,,,,,,,,,
18,2M 0103-55 (AB) b,13,1,1,,,,,,,,,
19,2M0117-34,16.4,3.7,3.7,,,,,,,,,
20,2M 0219-39 b,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,
21,2M0355,28,2,2,,,,1.22,0.02,0.02,,,
22,2M0418+21,47,8,8,,,,,,,,,
23,2M0437 b,4,,,,,,,,,,,
24,2M 0441+23 b,7.5,2.5,2.5,,,,,,,,,
25,2M0444,50,,,,,,,,,,,
26,2M0838+15 b,,,,,,,,,,,,
27,2M0838+15 c,,,,,,,,,,,,
28,2M1059-21 b,66.95,4.84,4.84,,,,,,,,,
29,2M1207 A,60,20,20,,,,,,,,,
30,2M1207 b,5.5,0.5,0.5,,,,,,,,,
31,2M 1252+2735 b,6.88,0.64,0.64,6.88,0.64,0.64,,,,,,
32,2M 1253+2734 b,8.3,0.2,0.2,8.3,0.2,0.2,,,,,,
33,2M 1258+2630 b,3.4,0.18,0.18,3.4,0.18,0.18,,,,,,
34,2M1510A a,40,3,3,,,,1.57,1.56,1.56,,,
35,2M1510A b,39.3,3,3,,,,1.57,1.56,1.56,,,
36,2M 2140+16 b,20,20,20,,,,0.92,0.39,0.39,,,
37,2M 2206-20 b,30,20,20,,,,1.3,0.18,0.18,,,
38,2M 2236+4751 b,12.5,1.5,1.5,,,,,,,,,
39,2MASS 0359+2009 b,20,5,5,,,,,,,,,
40,2MASS 1534-29 b,47,3,3,,,,0.32,,,,,
41,2MASS J0001+1535,33,4,4,,,,1.22,0.02,0.02,,,
42,2MASS J0030-1450,10,2,2,,,,1.36,0.04,0.04,,,
43,2MASS J0031+5749,24,7,7,,,,1.2,0.06,0.06,,,
44,2MASS J00413538-5621127 A,30,,,,,,,,,,,
45,2MASS J00413538-5621127 B,15,,,,,,,,,,,
46,2MASS J01225093-2439505 b,24.5,2.5,2.5,,,,,,,,,
47,2MASS J0153-6744,17,2,2,,,,1.48,0.03,0.03,,,
48,2MASS J0249-0557A,48,12,12,,,,,,,,,
49,2MASS J0249-0557 (AB) c,11.6,1,1,,,,,,,,,
50,2MASS J0249-0557B,44,11,11,,,,,,,,,
51,2MASS J0326-2102,18,4,4,,,,1.32,0.06,0.06,,,
52,2MASS J0342-6817,17,2,2,,,,1.48,0.03,0.03,,,
53,2MASS J0348-6022,43,18,18,,,,0.91,0.1,0.1,,,
54,2MASS J0407+1546,67,28,28,,,,0.97,0.8,0.8,,,
55,2MASS J0447-1216,51,16,16,,,,1.02,0.07,0.07,,,
56,2MASS J0459-2853,8,1,1,,,,1.32,0.03,0.03,,,
57,2MASS J0506+5236,26,7,7,,,,1.05,0.08,0.08,,,
58,2MASS J0642+4101,12,1,1,,,,1.23,0,0,,,
59,2MASS J0718-6415,3,1,1,,,,1.29,0.02,0.02,,,
60,2MASS J0809+4434,13,8,8,,,,1.35,0.11,0.11,,,
61,2MASS J0850+1057 b,26,4,4,,,,1.15,0.06,0.06,,,
62,2MASS J0951-8023,15,2,2,,,,1.45,0.05,0.05,,,
63,2MASS J10475385+2124234,42,26,26,,,,,,,,,
64,2MASS J11011926-7732383 A,50,,,,,,,,,,,
65,2MASS J11011926-7732383 B,30,,,,,,,,,,,
66,2MASS J1119-1137 b,3.7,0.9,0.9,,,,,,,,,
67,2MASS J1155-7919 b,10,,,,,,,,,,,
68,2MASS J1219+3128,49,25,25,,,,0.97,0.13,0.13,,,
