Id_n,Aop,Eop,Temperature,Pubication,Detection_type,Mass_detection_type,Radius_detection_type,Alt_names,Molecules,Periapsis_Dist,Apoapsis_Dist
1,94.8,2452899.6,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
2,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,,
3,117.63,2452861.05,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
4,,2452861.4,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
5,22.3,2451368,,Published in a refereed paper,Radial Velocity,Astrometry,,,,,
6,0.01,2451779,,Submitted to a professional journal,Radial Velocity,Astrometry,,HD 145675 c,,,
7,83.4,2450539.3,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
8,57.03,2453294.28,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
9,166.1,2451672,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
10,,,1800,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",,
11,,,,Published in a refereed paper,Imaging,Spectrum,,,,,
12,,,,Published in a refereed paper,Imaging,,,,,,
13,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,,
14,210,2450008.6,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
15,9.2,2454762,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
16,220.5,2454930,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
17,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,
18,,,,Published in a refereed paper,Imaging,Spectrum,,Delorme 1 (AB),H,,
19,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,
20,,,1683,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,,
21,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"2MASS J03552337+1133437, 2MASS J0355+1133",CO,,
22,,,,Published in a refereed paper,Imaging,,,2MASS J04183483+2131275,,,
23,,,1450,Published in a refereed paper,Imaging,Spectrum,,,,,
24,,,,Published in a refereed paper,Imaging,,,,,,
25,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J04442713+2512164, IRAS S04414+2506",,,
26,,,,Published in a refereed paper,Imaging,Spectrum,,,,,
27,,,,Published in a refereed paper,Imaging,Spectrum,,,,,
28,256,,,Published in a refereed paper,Astrometry,Astrometry,,,,,
29,,,,Published in a refereed paper,Imaging,,,"2M1207, 2MASS J12073346-3932539",,,
30,,,1300,Published in a refereed paper,Imaging,Spectrum,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b, TWA 27b","CH4, CO, He",,
31,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
32,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
33,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,,
34,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,2MASSW  J1510478-281817 a,,,
35,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,,
36,223,,,Published in a refereed paper,Imaging,,,,,,
37,,,,Published in a refereed paper,Imaging,,,,,,
38,,,1200,Published in a refereed paper,Imaging,Spectrum,,,"CO, H2O",,
39,,,2400,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,,
40,,,1700,Published in a refereed paper,Imaging,Spectrum,Flux,,,,
41,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00011217+1535355,,,
42,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J0030300-145033,,,
43,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00310928+5749364,,,
44,,,,Published in a refereed paper,Imaging,,,,,,
45,,,,Published in a refereed paper,Imaging,,,,,,
46,,,,Published in a refereed paper,Imaging,,,"WISE J012251.02-243952.0 b, 2M 0122-24 b",,,
47,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J01531463-6744181,,,
48,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,
49,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,
50,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,
51,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J03264225-2102057,,,
52,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASSI J0342162-681732,,,
53,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,2MASS J03480772-6022270,,,
54,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,,
55,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J04473039-1216155,,,
56,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J04590034-2853396,,,
57,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J05065012+5236338,,,
58,,,,Published in a refereed paper,Imaging,,,,,,
59,,,,Published in a refereed paper,Imaging,,,,,,
60,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,,
61,,,1234,Published in a refereed paper,Imaging,Spectrum,Flux,,,,
62,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J09512690-8023553,,,
63,,,,Published in a refereed paper,Imaging,Theoretical,,2MASS J1047+21,,,
64,,,,Published in a refereed paper,Imaging,,,,,,
65,,,,Published in a refereed paper,Imaging,,,,,,
66,,,,Published in a refereed paper,Imaging,,,TWA 42 b,,,
67,,,,Published in a refereed paper,Imaging,Spectrum,,,,,
68,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,,
69,,,,Published in a refereed paper,Imaging,Spectrum,,,,,
70,,,,Published in a refereed paper,Imaging,Spectrum,,,,,
71,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,
72,178,2456024,,Published in a refereed paper,Astrometry,Astrometry,,,,,
73,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J15515237+0941148,,,
74,,,,Published in a refereed paper,Imaging,Spectrum,,,,,
75,,,,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J16471580+5632057,,,
