Id_n,Name,Pstatus,Semi_major_axis,Semi_major_axis_emin,Semi_major_axis_emax,Eccentricity,Inclination,Angular_dist,Updated
1,11 Com b,Confirmed,1.29,0.05,0.05,0.231,,0.011664,2023-03-03
2,11 Oph b,Confirmed,243,55,55,,,1.675862,2018-06-18
3,11 UMi b,Confirmed,1.54,0.07,0.07,0.08,,0.012887,2023-03-03
4,14 And b,Confirmed,0.83,,,0,,0.010864,2023-03-03
5,14 Her b,Confirmed,2.82,0.04,0.04,0.372,35.7,0.153039,2023-05-22
6,14 Her c,Confirmed,27,7.9,7.9,0.65,82,0.381215,2023-05-22
7,16 Cyg B b,Confirmed,1.68,0.03,0.03,0.689,,0.078468,2021-10-02
8,17 Sco b,Confirmed,1.45,0.02,0.02,0.06,,,2020-10-26
9,18 Del b,Confirmed,2.6,,,0.08,,0.035568,2021-10-02
10,1RXS 1609 b,Confirmed,330,0,0,,,2.275862,2018-11-15
11,1RXS J0342.5+1216 b,Confirmed,19.8,,,,,,2023-07-07
12,1RXS J235133.3+312720 b,Confirmed,120,20,20,,,,2019-02-26
13,1SWASP J1407 b,Confirmed,3.9,1.7,1.7,,,,2014-10-29
14,24 Boo b,Confirmed,0.19,0.009,0.009,0.042,,,2023-08-07
15,24 Sex b,Confirmed,1.333,0.009,0.009,0.09,,0.017821,2021-10-02
16,24 Sex c,Confirmed,2.08,0.02,0.02,0.29,,0.027807,2021-10-02
17,2M0045+16,Confirmed,,,,,,,2019-06-07
18,2M 0103-55 (AB) b,Confirmed,84,,,,,,2022-08-12
19,2M0117-34,Confirmed,,,,,,,2019-06-07
20,2M 0219-39 b,Confirmed,156,10,10,,,,2016-02-23
21,2M0355,Confirmed,,,,,,,2022-09-22
22,2M0418+21,Confirmed,,,,,,,2023-07-25
23,2M0437 b,Confirmed,118,1.3,1.3,,,,2021-10-19
24,2M 0441+23 b,Confirmed,15,0.6,0.6,,,0.107143,2016-02-23
25,2M0444,Confirmed,,,,,,,2022-01-03
26,2M0838+15 b,Confirmed,27,2.7,2.7,,,,2021-07-03
27,2M0838+15 c,Confirmed,27,2.7,2.7,,,,2021-07-03
28,2M1059-21 b,Confirmed,0.8,0.02,0.02,0.146,32.9,,2020-05-01
29,2M1207 A,Confirmed,42,2,2,,,,2018-09-16
30,2M1207 b,Confirmed,42,2,2,,,0.877863,2023-05-31
31,2M 1252+2735 b,Confirmed,,,,0,,,2022-02-08
32,2M 1253+2734 b,Confirmed,,,,0.681,,,2022-02-08
33,2M 1258+2630 b,Confirmed,,,,0.598,,,2022-02-08
34,2M1510A a,Confirmed,0.063,0.001,0.001,0.31,88.5,,2020-03-24
35,2M1510A b,Confirmed,0.063,0.001,0.001,0.31,88.5,,2020-03-24
36,2M 2140+16 b,Confirmed,3.53,0.15,0.15,0.26,46.2,0.1412,2012-01-19
37,2M 2206-20 b,Confirmed,4.48,0.4,0.4,0,44.3,0.167979,2012-01-19
38,2M 2236+4751 b,Confirmed,230,20,20,,,3.7,2016-11-03
39,2MASS 0359+2009 b,Confirmed,540,,,,,,2021-06-24
40,2MASS 1534-29 b,Confirmed,,,,,,,2023-07-06
41,2MASS J0001+1535,Confirmed,,,,,,,2022-01-23
42,2MASS J0030-1450,Confirmed,,,,,,,2022-01-23
43,2MASS J0031+5749,Confirmed,,,,,,,2022-01-23
44,2MASS J00413538-5621127 A,Confirmed,,,,,,,2019-02-27
45,2MASS J00413538-5621127 B,Confirmed,8.9,1.9,1.9,,,,2022-10-30
46,2MASS J01225093-2439505 b,Confirmed,52,6,6,,,,2021-08-20
