Id_n,Star_dist,Star_dist_error_min,Star_dist_error_max,Star_metallicity,Star_mass,Star_mass_err_min,Star_mass_err_max,Star_radius,Star_rad_err_min,Star_rad_err_max
1,110.6,10.5,10.5,-0.35,2.7,0.3,0.3,19,2,2
2,145,20,20,,0.0162,0.005,0.005,,,
3,119.5,6.9,6.9,0.04,1.8,0.25,0.25,24.08,1.84,1.84
4,76.4,4.1,4.1,-0.24,2.2,0.2,0.2,11,1,1
5,18.1,,,0.43,0.9,,,0.708,0.085,0.085
6,18.1,,,0.43,0.9,,,0.708,0.085,0.085
7,21.41,0.24,0.24,0.08,1.01,0.04,0.04,0.98,0.13,0.13
8,116,4.53,4.53,-0.01,1.22,0.14,0.14,25.92,0.74,0.74
9,73.1,3.5,3.5,-0.052,2.3,,,8.5,,
10,145,20,20,,0.73,0.05,0.05,1.35,,
11,,,,,,,,,,
12,,,,,0.45,0.05,0.05,,,
13,133,12,12,,0.9,,,0.99,0.11,0.11
14,100,2.5,2.5,-0.77,0.99,0.13,0.13,10.64,0.59,0.59
15,72.2084,0.6832,0.6832,-0.03,1.54,0.08,0.08,4.9,0.08,0.08
16,72.2084,0.6832,0.6832,-0.03,1.54,0.08,0.08,4.9,0.08,0.08
17,15.4,0.05,0.05,,,,,,,
18,47.2,3.1,3.1,,0.4,,,,,
19,39.02,1.04,1.04,,,,,,,
20,39.4,2.6,2.6,,0.11,0.01,0.01,0.27,0.01,0.01
21,9.1203,0.0613,0.0613,,,,,,,
22,48.8,,,,,,,,,
23,128.1,0.5,0.5,0.01,0.0165,0.0015,0.0015,0.84,0.11,0.11
24,140,,,,0.02,,,,,
25,143.2,1.6,1.6,,,,,,,
26,49,12,12,,,,,,,
27,49,12,12,,,,,,,
28,31.81,0.7,0.7,,0.81,0.008,0.008,,,
29,52.4,1.1,1.1,,,,,,,
30,52.4,1.1,1.1,,,,,,,
31,197.2,4,4,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,36.6,0.3,0.3,,,,,,,
35,36.6,0.3,0.3,,,,,,,
36,25,10,10,,0.08,0.06,0.06,0.1,0.043,0.043
37,26.67,2.63,2.63,,0.13,0.05,0.05,0.11,0.015,0.015
38,63,,,,0.6,0.05,0.05,,,
39,117.76,2.3,2.3,,0.06,0.01,0.01,,,
40,,,,,,,,,,
41,31.6163,1.8013,1.8013,,,,,,,
