Id_n,Star_name,Ra,Dec,Star_type,Star_age,Star_alt_names,Star_magnitude
1,11 Com,185.1791667,17.7927778,G8 III,,,
2,11 Oph,245.6041667,-24.0872222,M9,0.011,"Oph 1622-2405, Oph 11A",
3,11 UMi,229.275,71.8238889,K4III,1.56,,
4,14 And,352.8208333,39.2361111,K0III,,,
5,14 Her,242.5958333,43.8216667,K0 V,5.1,,
6,14 Her,242.5958333,43.8216667,K0 V,5.1,,
7,16 Cyg B,295.4625,50.5175,G2.5 V,8,,
8,17 Sco,243.4625,-11.8377778,K3 III,5.13,,
9,18 Del,314.6083333,10.8391667,G6III,,,
10,1RXS 1609,242.375,-21.0827778,K7V,0.011,"1RXS1609, 1RXS J1609, 1RXS J160929",
11,1RXS J0342.5+1216,55.63333334,12.27277779,M4,,,
12,1RXS J235133.3+312720,357.8903083,31.45639469,M2V,0.1,2MASS J23513366+3127229,
13,1SWASP J1407,211.95,-39.76194447,,0.016,,
14,24 Bo&ouml;,217.1625,49.84500003,G3IV,6.92,,
15,24 Sex,155.8682058,-0.9022436758,G5,2.7,,
16,24 Sex,155.8682058,-0.9022436758,G5,2.7,,
17,,11.33929167,16.57905558,,,,
18,2M 0103-55 (AB),15.9,-55.2656,M,0.03,,
19,,19.44750002,-34.05694445,,,,
20,2M 0219-39,34.84166667,-39.42305557,M6,,2MASS J0292210-3925225,
21,,58.8474051,11.56216579,,,,
22,,64.64512701,21.52430902,,,,
23,2M0437,69.3405544,26.850296,,0.0025,,
24,2M 0441+23,70.4375,23.0308333,M8.5,0.001,,
25,,71.11309,25.20456,,,,
26,2M0838+15,129.55,15.18777779,T3,,,
27,2M0838+15,129.55,15.18777779,T3,,,
28,2M1059-21,164.9625,-21.21916667,L2,,,
29,,181.8875,-39.54833336,,,,
30,,181.8875,-39.54833336,,,,
31,2M 1252+2735,193.2125,27.58694446,G8IV,,,
32,2M 1253+2734,193.2541667,27.57194446,,,,
33,2M 1258+2630,194.5958333,26.50250001,,,,
34,,227.6991667,-28.30472223,,,,
35,,227.6991667,-28.30472223,,,,
36,2M 2140+16,325.1208333,16.4216667,,,,
37,2M 2206-20,331.5958333,-20.785,,,,
38,2M 2236+4751,339.1041667,47.86194447,K7,0.12,,
39,2MASS 0359+2009,59.79166667,20.16000001,M4.75,0.0075,,
40,2MASS 1534-29,246.0583333,0.487777791,T6V,,,
41,,0.3006871114,15.59320681,,,,
42,,7.62555101,-14.84261002,,,,
43,,7.788700003,57.82679725,,,,
44,,10.3974532,-56.35355144,,,,
45,,10.3974532,-56.35355144,,,,
46,2MASS J01225093-2439505,20.712243,-24.664049,M3.5 V,0.12,WISE J012251.02-243952.0,
47,,28.31096,-67.73838802,,,,
48,,42.48495208,-5.959836363,,,,
49,,42.48495208,-5.959836363,,,,
50,,42.48495208,-5.959836363,,,,
51,,51.67607101,-21.034937,,,,
52,,55.56755201,-68.29225201,,,,
53,,57.032171,-60.3741839,,,,
54,,61.78136083,15.77931668,,,,
55,,71.87665001,-12.27098334,,,,
56,,14.751449,-28.89434603,,,,
57,,76.70885002,52.60940835,,,,
58,,100.5233,41.03333301,,,,
59,,109.53631,-64.25863601,,,,
60,,122.495993,44.57267002,,,,
61,2MASS J0850+1057,132.65,10.95444447,L6.5,,,
62,,147.8620833,-80.39869446,,,,
63,,161.974394,21.40651901,,,,
64,,165.330275,-77.54397502,,,,
65,,165.330275,-77.54397502,,,,
66,2MASS J1119-1137,169.8855958,-11.62963891,L7,0.01,,
67,2MASS J1155-7919,178.769,-79.32,M3,0.005,,
68,,184.964836,31.48047602,,,,
69,2MASS J1450-7841 B,222.6708333,-78.69388891,M9p,,,
70,2MASS J1450-7841 A,222.675,-78.69472225,M8p,,,
71,,233.7076667,-29.8742778,,,,
72,,233.7076667,-29.8742778,,,,
73,,237.968246,9.687469017,,,,
74,2MASS J155947+440359,239.9458333,44.06666668,M2.0V,,,
75,,251.815856,56.53492401,,,,
76,,265.261694,-46.70607002,,,,
77,,271.8164065,50.25878801,,,,
78,,300.7112979,-5.364606268,,,,
79,,319.3096333,-29.66761668,,,,
80,,324.861539,2.339638012,,,,
81,,328.643928,-10.92523403,,,,
82,,331.6050125,33.02067778,,,,
83,,331.6874917,-42.28921274,,,,
84,2MASS J2250+2325,342.5625,23.42611113,M3,0.15,,
85,,350.7208604,-61.8576385,,,,
86,,355.89461,-36.76727702,,,,
87,,332.056794,29.35598201,,,,
88,TYC 9486-927-1,321.3666667,-81.64111113,M2,0.027,,
89,38 Vir,193.2964895,-3.553099291,F6 V,1.9,"HD 111998, HIP 62875",
90,3 Cnc,120.1958333,17.30861112,K3 III,0.43,,
91,44 Uma,163.3916667,65.58500001,K3 III,1.05,,
92,47 Uma,164.8708333,40.4294444,G0V,7.4,,
93,47 Uma,164.8708333,40.4294444,G0V,7.4,,
94,47 Uma,164.8708333,40.4294444,G0V,7.4,,
95,4 Uma,130.0541667,64.3280556,K1III,4.604,,
96,51 Eri,69.40055143,-2.473548598,F0IV,0.02,,
97,51 Peg,344.3625,20.7686111,G2 IV,4,,
98,55 Cnc,133.1541667,28.3338889,K0IV-V,10.2,TOI-1773,
99,55 Cnc,133.1541667,28.3338889,K0IV-V,10.2,TOI-1773,
100,55 Cnc,133.1541667,28.3338889,K0IV-V,10.2,TOI-1773,
101,55 Cnc,133.1541667,28.3338889,K0IV-V,10.2,TOI-1773,
102,55 Cnc,133.1541667,28.3338889,K0IV-V,10.2,TOI-1773,
103,61 Vir,199.6,-18.3111111,G5V,8.96,HD 115617,
104,61 Vir,199.6,-18.3111111,G5V,8.96,HD 115617,
105,61 Vir,199.6,-18.3111111,G5V,8.96,HD 115617,
106,6 Lyn,97.6958333,58.1627778,K0IV,,,
107,TOI-469,93.05833334,-14.64944447,,11.7,"HD 42813, HIP 29442",
108,70 Vir,202.1083333,13.7866667,G4 V,7.09,HR 117176,
109,75 Cet,38.0375,-1.035,G3III,,,
110,75 Cet,38.0375,-1.035,G3III,,,
111,7 CMa,99.1708333,-19.2558333,K1 III,,,
112,7 CMa,99.1708333,-19.2558333,K1 III,,,
113,81 Cet,39.425,-3.3961111,G5III,,,
114,8 Umi,224.2,74.90083335,K0,1.7,,
115,91 Aqr,348.9708333,-9.0875,K0 III,3.56,,
116,AB Aur,73.9416667,30.5511111,A0V,0.002,,
117,AB Dor C,82.43333335,-65.44833335,M8,,,
118,AB Pic,94.8,-58.0541667,K2 V,0.03,,
119,AD 3116,130.6643334,19.41441632,M3.9,,"EPIC 211946007, 2MASS J08423943+1924520",
120,AF Lep,81.77083334,-11.90111113,F8V,0.024,,
121,Aldebaran,68.9791667,16.5091667,K5III,6.6,alf Tau,
122,alf Ari,31.7916667,23.4622222,K2III,,,
123,AS 205A,242.8791667,-18.6402778,K5,,V866 Sco,
124,ASASSN-16kr,331.5,-34.24277779,,,,
125,ASASSN-17jf,307.3208333,-43.67222224,,,,
126,AU Mic,311.2916667,-31.34083335,M1V,0.022,,
127,AU Mic,311.2916667,-31.34083335,M1V,0.022,,
128,AU Mic,311.2916667,-31.34083335,M1V,0.022,,
129,b Cen,220.4916667,-37.79361114,B3V,0.015,,
130,BD-00 4475,347.7125,0.409722238,G0,,,
131,BD+03 2562,177.5648029,2.760131134,,5.25,,
132,BD-06 1339,88.25,-5.9947,K7V/M0V,4.4,GJ 221,
133,BD-06 1339,88.25,-5.9947,K7V/M0V,4.4,GJ 221,
